ProteinId	GeneName	Description	intensities_LFQ.intensity.1_hu_C1	imputed_LFQ.intensity.1_hu_C1	intensities_LFQ.intensity.2_hu_P1	imputed_LFQ.intensity.2_hu_P1	intensities_LFQ.intensity.3_hu_C2	imputed_LFQ.intensity.3_hu_C2	intensities_LFQ.intensity.4_hu_P2	imputed_LFQ.intensity.4_hu_P2	intensities_LFQ.intensity.5_hu_C3	imputed_LFQ.intensity.5_hu_C3	intensities_LFQ.intensity.6_hu_P3	imputed_LFQ.intensity.6_hu_P3	AveExpr	t	adj.P.Val	logFC AZD8931_resistant_SKBR3_AZDRc - Parental_SKBR3	CI.L AZD8931_resistant_SKBR3_AZDRc - Parental_SKBR3	CI.R AZD8931_resistant_SKBR3_AZDRc - Parental_SKBR3	P.Value AZD8931_resistant_SKBR3_AZDRc - Parental_SKBR3	adj.P.Val AZD8931_resistant_SKBR3_AZDRc - Parental_SKBR3	NImputed: AZD8931_resistant_SKBR3_AZDRc	NImputed: Parental_SKBR3	NReplicates: AZD8931_resistant_SKBR3_AZDRc	NReplicates: Parental_SKBR3
P0DPI2			20.8316442204469	1	23.0037772932467	0	20.8571622604359	1	22.7070195111309	0	20.8129891791949	1	22.7117526632982	0	21.8207241879589	-8.49431817964212	0.000477560622093848	-1.97358460253268	-2.53561142374701	-1.41155778131834	0.000111892223050974	0.000477560622093848	3	0	3	3
A0A0U1RRL7			20.2734093529399	1	22.7746680395562	0	21.3985370420625	1	22.7869603409319	0	20.6794897695524	1	23.1156266493749	0	21.8381151990696	-5.9876879528084	0.00212904734625581	-2.10860628843608	-2.96046222901563	-1.25675034785654	0.000815106290776681	0.00212904734625581	3	0	3	3
A0AV96			20.8468013093768	1	21.4500533515797	0	21.2364976516061	1	21.3862708974879	0	21.0390542718614	1	21.5330749322473	0	21.2486254023599	-1.58767224256977	0.198364522821858	-0.415681982823514	-1.04901213828714	0.217648172640109	0.161111282122826	0.198364522821858	3	0	3	3
A0FGR8			23.9329204623241	0	25.2398711902965	0	23.9002123252889	0	23.8547177497965	0	25.1402028755803	0	25.2737321526135	0	24.55694279265	-0.914416950886309	0.436251838070532	-0.464995143171073	-1.69696446738417	0.766974181042025	0.394365339125354	0.436251838070532	0	0	3	3
A1L0T0			20.1897471629704	1	20.2341247228899	1	21.1558408164124	1	21.9099937658501	1	21.5233678279404	1	20.1650447793783	1									3	3	3	3
A4D1S0			21.3019419395702	1	21.7902657593625	0	21.292624363768	1	22.3083312523794	0	20.3534527042851	1	22.0168232467795	0	21.5105732110241	-2.9076277377434	0.0408751817315112	-1.05580041696603	-1.9341610116309	-0.177439822301158	0.025596354743706	0.0408751817315112	3	0	3	3
A5YKK6			20.1280105214076	1	22.9067401602736	0	21.4014029852119	1	23.5916072604778	0	20.9877632783056	1	21.6066968017289	1	21.7703701679009	-3.12706162510181	0.0321337647253775	-1.86262247918507	-3.30568167104743	-0.419563287322699	0.0192987709716507	0.0321337647253775	3	1	3	3
A6NDG6			21.3722550531914	0	22.4067831852024	0	21.6091895617778	0	22.321823525646	0	22.040226835089	0	21.9127636421225	0	21.9438403005049	-1.85994529533747	0.142406852976646	-0.539899634304273	-1.24207029725663	0.162271028648081	0.109900940884151	0.142406852976646	0	0	3	3
A6NHQ2			21.5032258511654	1	21.9172455096597	1	21.5326144780361	1	19.8327558723214	1	21.0682346354059	1	20.2386646445731	1									3	3	3	3
P61224			20.7358318963124	1	23.7574559347419	0	21.0160768971554	1	23.4871393472203	0	19.9491419477899	1	23.5459250570983	0	22.0819285133864	-9.04903213663355	0.000362001217598822	-3.0298231992676	-3.83974851560059	-2.21989788293461	7.71404090152137e-05	0.000362001217598822	3	0	3	3
P0C862			21.0700793982703	1	20.803556895732	1	21.2918529656974	1	20.1671622883629	1	21.3342862208965	1	21.1157938511886	1									3	3	3	3
Q99613			24.5149071244836	0	25.328173350506	0	24.2152681435605	0	25.4657858409019	0	24.6473521415506	0	25.1736374918964	0	24.8908540154832	-5.39704561196438	0.00341444968638655	-0.863356424569872	-1.25031444690001	-0.47639840223973	0.00142681110083303	0.00341444968638655	0	0	3	3
E9PAV3			27.4093268357681	0	26.3139072706894	0	27.0922467825447	0	26.2227300574751	0	27.2692796614525	0	26.1187622590753	0	26.7377088111675	8.9755947742056	0.000373591603107942	1.03848456417513	0.758607940105551	1.31836118824471	8.09398005130568e-05	0.000373591603107942	0	0	3	3
O00115			20.182752227325	1	20.4077539972171	1	20.358817479872	1	20.6730545733922	1	20.3722655262345	1	19.1781641842848	1									3	3	3	3
O00148			24.6090204331899	0	24.6339490709397	0	24.8303573664357	0	24.4008033629918	0	24.7789642276767	0	24.2371014015635	0	24.5816993104662	2.04887892475928	0.111914738943804	0.315496063935772	-0.0569878039036554	0.687979931775199	0.0841387983001424	0.111914738943804	0	0	3	3
O00151			20.835387323432	1	22.5741546285235	0	19.79475127035	1	20.9792735325064	1	20.6080796801222	1	23.1967353848665	0	21.3313969699667	-2.90553359253809	0.0411435062330672	-1.83731509066404	-3.3692964701242	-0.305333711203887	0.0258637620704245	0.0411435062330672	3	1	3	3
O00154			20.7902992789474	1	23.6728198094948	0	19.8415408925433	1	23.9702681206298	0	20.3624044511278	1	23.6282301422428	0	22.0442604491643	-10.9079815018742	0.000179868111088222	-3.42569114991627	-4.18537628932072	-2.66600601051181	2.53075301229202e-05	0.000179868111088222	3	0	3	3
O00159			25.4059397125543	0	25.0830215304092	0	24.9639780245078	0	25.366496979726	0	25.2884870565567	0	25.3945370096451	0	25.2504100522332	-0.378140779722724	0.74193544685946	-0.0618835753872098	-0.45775276339536	0.333985612620941	0.71774189967926	0.74193544685946	0	0	3	3
Q12965			23.4098932808092	0	21.5331804943748	1	23.1725544733489	0	21.0912465866757	1	22.8335842466687	0	22.1251666710735	1	22.3609376254918	4.57390626613995	0.00692403302627754	1.55547941623425	0.732845092268205	2.3781137402003	0.00335380472792496	0.00692403302627754	0	3	3	3
O00170			23.2773907068672	0	23.335654223297	0	23.4772898804546	0	23.2674233702545	0	23.2718459740904	0	22.9036178400612	0	23.2555369991708	0.78028006957616	0.504006086111236	0.173277042599857	-0.363903571205148	0.710457656404861	0.463527336441674	0.504006086111236	0	0	3	3
O00193			21.047866779507	0	20.5239926060027	1	20.6398835060815	1	21.248177753652	0	20.2740330030294	1	22.086832073349	0	20.9701309536036	-1.3333914729622	0.269394357427348	-0.632406381461912	-1.78144418071806	0.516631417794238	0.228887597162004	0.269394357427348	2	1	3	3
O00217			21.8959627744174	1	20.0091778368051	1	20.335611099506	1	20.4113234107986	1	20.2819319482209	1	20.9929841691631	1									3	3	3	3
O00231			24.8114703406392	0	24.5149071244836	0	25.4012592216765	0	24.8665567711077	0	25.2884518529882	0	25.358671856477	0	25.0402195278953	0.964597814925654	0.412086515384274	0.253681887745191	-0.3834640705124	0.890827846002783	0.370528354978442	0.412086515384274	0	0	3	3
O00232			24.5332056655106	0	25.4992052776847	0	20.5242225906902	1	25.1090080407859	0	24.7266601345511	0	25.021871570974	0	24.2356955466994	-1.75785580559132	0.161584386979313	-1.94866549956427	-4.63431785120083	0.736986852072281	0.127237947234918	0.161584386979313	1	0	3	3
O00264			20.7322186637795	1	20.7516311136042	1	19.6554590480249	1	23.6813173481887	0	20.7198429580498	1	23.2839033746376	0	21.4707287510474	-2.68276988318463	0.0532836188881711	-2.20311038885874	-4.1926316362765	-0.213589141440986	0.0349432428215905	0.0532836188881711	3	1	3	3
