ProteinId	SampleName	Intensity	techRep	bioRep	Replicate	Imputed	log2NInt	log2NIntNorm	nRLE	z_norm	RunId	Condition
P0DPI2	LFQ.intensity.2_hu_P1	8410600	1	1	1	0	23.0037772932467	23.0037772932467	1.18305310528774	1.08896625894727	Parental_SKBR3.1	Parental_SKBR3
P0DPI2	LFQ.intensity.4_hu_P2	6846900	1	2	2	0	22.7070195111309	22.7070195111309	0.886295323172014	0.815809280313199	Parental_SKBR3.2	Parental_SKBR3
P0DPI2	LFQ.intensity.6_hu_P3	6869400	1	3	3	0	22.7117526632982	22.7117526632982	0.891028475339247	0.820166010358151	Parental_SKBR3.3	Parental_SKBR3
A0A0U1RRL7	LFQ.intensity.2_hu_P1	7175600	1	1	1	0	22.7746680395562	22.7746680395562	0.936552840486566	0.770184185483123	Parental_SKBR3.1	Parental_SKBR3
A0A0U1RRL7	LFQ.intensity.4_hu_P2	7237000	1	2	2	0	22.7869603409319	22.7869603409319	0.948845141862314	0.780292890207007	Parental_SKBR3.2	Parental_SKBR3
A0A0U1RRL7	LFQ.intensity.6_hu_P3	9088600	1	3	3	0	23.1156266493749	23.1156266493749	1.27751145030525	1.05057512322267	Parental_SKBR3.3	Parental_SKBR3
A0AV96	LFQ.intensity.2_hu_P1	2864900	1	1	1	0	21.4500533515797	21.4500533515797	0.201427949219806	0.765757572477667	Parental_SKBR3.1	Parental_SKBR3
A0AV96	LFQ.intensity.4_hu_P2	2741000	1	2	2	0	21.3862708974879	21.3862708974879	0.137645495127995	0.52327931957784	Parental_SKBR3.2	Parental_SKBR3
A0AV96	LFQ.intensity.6_hu_P3	3034600	1	3	3	0	21.5330749322473	21.5330749322473	0.284449529887471	1.08137615630168	Parental_SKBR3.3	Parental_SKBR3
A0FGR8	LFQ.intensity.2_hu_P1	39624000	1	1	1	0	25.2398711902965	25.2398711902965	0.682928397646535	0.940885301494945	Parental_SKBR3.1	Parental_SKBR3
A0FGR8	LFQ.intensity.4_hu_P2	15170000	1	2	2	0	23.8547177497965	23.8547177497965	-0.702225042853485	-0.967470709139363	Parental_SKBR3.2	Parental_SKBR3
A0FGR8	LFQ.intensity.6_hu_P3	40565000	1	3	3	0	25.2737321526135	25.2737321526135	0.71678935996356	0.98753628547563	Parental_SKBR3.3	Parental_SKBR3
A1L0T0	LFQ.intensity.2_hu_P1	0	1	1	1	1	0	20.2341247228899	-0.628895123016989	-0.818206559912379	Parental_SKBR3.1	Parental_SKBR3
A1L0T0	LFQ.intensity.4_hu_P2	0	1	2	2	1	0	21.9099937658501	1.04697391994313	1.36213638491121	Parental_SKBR3.2	Parental_SKBR3
A1L0T0	LFQ.intensity.6_hu_P3	0	1	3	3	1	0	20.1650447793783	-0.697975066528613	-0.908081104762461	Parental_SKBR3.3	Parental_SKBR3
A4D1S0	LFQ.intensity.2_hu_P1	3626800	1	1	1	0	21.7902657593625	21.7902657593625	0.279692548338392	0.403626462995944	Parental_SKBR3.1	Parental_SKBR3
A4D1S0	LFQ.intensity.4_hu_P2	5193700	1	2	2	0	22.3083312523794	22.3083312523794	0.797758041355262	1.15125075184063	Parental_SKBR3.2	Parental_SKBR3
A4D1S0	LFQ.intensity.6_hu_P3	4243500	1	3	3	0	22.0168232467795	22.0168232467795	0.506250035755379	0.730573311793397	Parental_SKBR3.3	Parental_SKBR3
A5YKK6	LFQ.intensity.2_hu_P1	7863500	1	1	1	0	22.9067401602736	22.9067401602736	1.13636999237272	0.893866347213494	Parental_SKBR3.1	Parental_SKBR3
A5YKK6	LFQ.intensity.4_hu_P2	12641000	1	2	2	0	23.5916072604778	23.5916072604778	1.82123709257688	1.43258142882874	Parental_SKBR3.2	Parental_SKBR3
A5YKK6	LFQ.intensity.6_hu_P3	0	1	3	3	1	0	21.6066968017289	-0.163673366171999	-0.128745140172898	Parental_SKBR3.3	Parental_SKBR3
A6NDG6	LFQ.intensity.2_hu_P1	5560500	1	1	1	0	22.4067831852024	22.4067831852024	0.462942884697551	1.15293813333052	Parental_SKBR3.1	Parental_SKBR3
A6NDG6	LFQ.intensity.4_hu_P2	5242500	1	2	2	0	22.321823525646	22.321823525646	0.377983225141193	0.941349977350332	Parental_SKBR3.2	Parental_SKBR3
A6NDG6	LFQ.intensity.6_hu_P3	3948200	1	3	3	0	21.9127636421225	21.9127636421225	-0.0310766583823288	-0.0773949998796945	Parental_SKBR3.3	Parental_SKBR3
A6NHQ2	LFQ.intensity.2_hu_P1	0	1	1	1	1	0	21.9172455096597	0.901788677799388	1.10608266492252	Parental_SKBR3.1	Parental_SKBR3
A6NHQ2	LFQ.intensity.4_hu_P2	0	1	2	2	1	0	19.8327558723214	-1.18270095953889	-1.45063368097	Parental_SKBR3.2	Parental_SKBR3
A6NHQ2	LFQ.intensity.6_hu_P3	0	1	3	3	1	0	20.2386646445731	-0.776792187287128	-0.952769084107613	Parental_SKBR3.3	Parental_SKBR3
P61224	LFQ.intensity.2_hu_P1	14181000	1	1	1	0	23.7574559347419	23.7574559347419	1.67552742135553	0.986557594458783	Parental_SKBR3.1	Parental_SKBR3
P61224	LFQ.intensity.4_hu_P2	11758000	1	2	2	0	23.4871393472203	23.4871393472203	1.40521083383398	0.827394050533126	Parental_SKBR3.2	Parental_SKBR3
P61224	LFQ.intensity.6_hu_P3	12247000	1	3	3	0	23.5459250570983	23.5459250570983	1.46399654371189	0.862007323814433	Parental_SKBR3.3	Parental_SKBR3
P0C862	LFQ.intensity.2_hu_P1	0	1	1	1	1	0	20.803556895732	-0.160231707625933	-0.36962833697129	Parental_SKBR3.1	Parental_SKBR3
P0C862	LFQ.intensity.4_hu_P2	0	1	2	2	1	0	20.1671622883629	-0.796626314995006	-1.83768658751731	Parental_SKBR3.2	Parental_SKBR3
P0C862	LFQ.intensity.6_hu_P3	0	1	3	3	1	0	21.1157938511886	0.152005247830672	0.350651240001307	Parental_SKBR3.3	Parental_SKBR3
Q99613	LFQ.intensity.2_hu_P1	42125000	1	1	1	0	25.328173350506	25.328173350506	0.43731933502287	0.87157374976318	Parental_SKBR3.1	Parental_SKBR3
Q99613	LFQ.intensity.4_hu_P2	46341000	1	2	2	0	25.4657858409019	25.4657858409019	0.574931825418695	1.14583428357257	Parental_SKBR3.2	Parental_SKBR3
Q99613	LFQ.intensity.6_hu_P3	37846000	1	3	3	0	25.1736374918964	25.1736374918964	0.282783476413254	0.563585085703284	Parental_SKBR3.3	Parental_SKBR3
E9PAV3	LFQ.intensity.2_hu_P1	83421000	1	1	1	0	26.3139072706894	26.3139072706894	-0.42380154047812	-0.729556524998412	Parental_SKBR3.1	Parental_SKBR3
E9PAV3	LFQ.intensity.4_hu_P2	78312000	1	2	2	0	26.2227300574751	26.2227300574751	-0.514978753692393	-0.886514262236931	Parental_SKBR3.2	Parental_SKBR3
E9PAV3	LFQ.intensity.6_hu_P3	72867000	1	3	3	0	26.1187622590753	26.1187622590753	-0.618946552092197	-1.06549045384474	Parental_SKBR3.3	Parental_SKBR3
O00115	LFQ.intensity.2_hu_P1	0	1	1	1	1	0	20.4077539972171	0.212285999162852	0.406120605103689	Parental_SKBR3.1	Parental_SKBR3
O00115	LFQ.intensity.4_hu_P2	0	1	2	2	1	0	20.6730545733922	0.477586575337917	0.913662463518575	Parental_SKBR3.2	Parental_SKBR3
