annotation_id,annotation_name,annotation_description,size,linkout,date_download,go_download_link
GO:0005575,cellular_component,"A location, relative to cellular compartments and structures, occupied by a macromolecular machine when it carries out a molecular function. There are two ways in which the gene ontology describes locations of gene products: (1) relative to cellular structures (e.g., cytoplasmic side of plasma membrane) or compartments (e.g., mitochondrion), and (2) the stable macromolecular complexes of which they are parts (e.g., the ribosome). [GOC:pdt, NIF_Subcellular:sao1337158144]",682,http://amigo.geneontology.org/amigo/term/GO:0005575,2023-05-10,http://ftp.ebi.ac.uk/pub/databases/GO/goa/YEAST/goa_yeast.gaf.gz
GO:0005739,mitochondrion,"A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration. [GOC:giardia, ISBN:0198506732]",2816,http://amigo.geneontology.org/amigo/term/GO:0005739,2023-05-10,http://ftp.ebi.ac.uk/pub/databases/GO/goa/YEAST/goa_yeast.gaf.gz
GO:0005634,nucleus,"A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent. [GOC:go_curators]",3130,http://amigo.geneontology.org/amigo/term/GO:0005634,2023-05-10,http://ftp.ebi.ac.uk/pub/databases/GO/goa/YEAST/goa_yeast.gaf.gz
GO:0005737,cytoplasm,"The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures. [ISBN:0198547684]",2875,http://amigo.geneontology.org/amigo/term/GO:0005737,2023-05-10,http://ftp.ebi.ac.uk/pub/databases/GO/goa/YEAST/goa_yeast.gaf.gz
GO:0005829,cytosol,"The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes. [GOC:hjd, GOC:jl]",1884,http://amigo.geneontology.org/amigo/term/GO:0005829,2023-05-10,http://ftp.ebi.ac.uk/pub/databases/GO/goa/YEAST/goa_yeast.gaf.gz
GO:0016020,membrane,"A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it. [GOC:dos, GOC:mah, ISBN:0815316194]",490,http://amigo.geneontology.org/amigo/term/GO:0016020,2023-05-10,http://ftp.ebi.ac.uk/pub/databases/GO/goa/YEAST/goa_yeast.gaf.gz
GO:0005886,plasma membrane,The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins. [ISBN:0716731363],765,http://amigo.geneontology.org/amigo/term/GO:0005886,2023-05-10,http://ftp.ebi.ac.uk/pub/databases/GO/goa/YEAST/goa_yeast.gaf.gz
GO:0038038,G protein-coupled receptor homodimeric complex,"A protein complex that contains two G protein-coupled receptors (GPCRs) of the same subtype. Formation of a GPCR homodimer may be important for the transport of newly formed receptors to the cell surface, and the function of the receptor. [GOC:al, GOC:bf, PMID:10713101, PMID:16670762]",1,http://amigo.geneontology.org/amigo/term/GO:0038038,2023-05-10,http://ftp.ebi.ac.uk/pub/databases/GO/goa/YEAST/goa_yeast.gaf.gz
GO:0005743,mitochondrial inner membrane,"The inner, i.e. lumen-facing, lipid bilayer of the mitochondrial envelope. It is highly folded to form cristae. [GOC:ai]",428,http://amigo.geneontology.org/amigo/term/GO:0005743,2023-05-10,http://ftp.ebi.ac.uk/pub/databases/GO/goa/YEAST/goa_yeast.gaf.gz
GO:0005783,endoplasmic reticulum,"The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached). [ISBN:0198506732]",888,http://amigo.geneontology.org/amigo/term/GO:0005783,2023-05-10,http://ftp.ebi.ac.uk/pub/databases/GO/goa/YEAST/goa_yeast.gaf.gz
