annotation_id,annotation_name,annotation_description,size,linkout,date_download,go_download_link
GO:0003674,molecular_function,"A molecular process that can be carried out by the action of a single macromolecular machine, usually via direct physical interactions with other molecular entities. Function in this sense denotes an action, or activity, that a gene product (or a complex) performs. [GOC:pdt]",1744,http://amigo.geneontology.org/amigo/term/GO:0003674,2023-05-10,http://ftp.ebi.ac.uk/pub/databases/GO/goa/YEAST/goa_yeast.gaf.gz
GO:0003677,DNA binding,"Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid). [GOC:dph, GOC:jl, GOC:tb, GOC:vw]",253,http://amigo.geneontology.org/amigo/term/GO:0003677,2023-05-10,http://ftp.ebi.ac.uk/pub/databases/GO/goa/YEAST/goa_yeast.gaf.gz
GO:0003723,RNA binding,"Binding to an RNA molecule or a portion thereof. [GOC:jl, GOC:mah]",417,http://amigo.geneontology.org/amigo/term/GO:0003723,2023-05-10,http://ftp.ebi.ac.uk/pub/databases/GO/goa/YEAST/goa_yeast.gaf.gz
GO:0003887,DNA-directed DNA polymerase activity,"Catalysis of the reaction: deoxynucleoside triphosphate + DNA(n) = diphosphate + DNA(n+1); the synthesis of DNA from deoxyribonucleotide triphosphates in the presence of a DNA template and a 3'hydroxyl group. [EC:2.7.7.7, GOC:vw, ISBN:0198547684]",77,http://amigo.geneontology.org/amigo/term/GO:0003887,2023-05-10,http://ftp.ebi.ac.uk/pub/databases/GO/goa/YEAST/goa_yeast.gaf.gz
GO:0003964,RNA-directed DNA polymerase activity,Catalysis of the reaction: deoxynucleoside triphosphate + DNA(n) = diphosphate + DNA(n+1). Catalyzes RNA-template-directed extension of the 3'- end of a DNA strand by one deoxynucleotide at a time. [EC:2.7.7.49],48,http://amigo.geneontology.org/amigo/term/GO:0003964,2023-05-10,http://ftp.ebi.ac.uk/pub/databases/GO/goa/YEAST/goa_yeast.gaf.gz
GO:0004190,aspartic-type endopeptidase activity,"Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a mechanism in which a water molecule bound by the side chains of aspartic residues at the active center acts as a nucleophile. [ISBN:0198506732]",59,http://amigo.geneontology.org/amigo/term/GO:0004190,2023-05-10,http://ftp.ebi.ac.uk/pub/databases/GO/goa/YEAST/goa_yeast.gaf.gz
GO:0004523,RNA-DNA hybrid ribonuclease activity,Catalysis of the endonucleolytic cleavage of RNA in RNA-DNA hybrids to 5'-phosphomonoesters. [EC:3.1.26.4],55,http://amigo.geneontology.org/amigo/term/GO:0004523,2023-05-10,http://ftp.ebi.ac.uk/pub/databases/GO/goa/YEAST/goa_yeast.gaf.gz
GO:0005524,ATP binding,"Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator. [ISBN:0198506732]",682,http://amigo.geneontology.org/amigo/term/GO:0005524,2023-05-10,http://ftp.ebi.ac.uk/pub/databases/GO/goa/YEAST/goa_yeast.gaf.gz
GO:0046872,metal ion binding,Binding to a metal ion. [GOC:ai],239,http://amigo.geneontology.org/amigo/term/GO:0046872,2023-05-10,http://ftp.ebi.ac.uk/pub/databases/GO/goa/YEAST/goa_yeast.gaf.gz
GO:0004360,glutamine-fructose-6-phosphate transaminase (isomerizing) activity,"Catalysis of the reaction: beta-D-fructose 6-phosphate + L-glutamine = D-glucosamine 6-phosphate + L-glutamate. [EC:2.6.1.16, RHEA:13237]",4,http://amigo.geneontology.org/amigo/term/GO:0004360,2023-05-10,http://ftp.ebi.ac.uk/pub/databases/GO/goa/YEAST/goa_yeast.gaf.gz
