annotation_id,annotation_name,size,linkout,date_download,go_download_link
R-SCE-156827,L13a-mediated translational silencing of Ceruloplasmin expression,118,https://reactome.org/PathwayBrowser/#/R-SCE-156827,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-1799339,SRP-dependent cotranslational protein targeting to membrane,105,https://reactome.org/PathwayBrowser/#/R-SCE-1799339,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-392499,Metabolism of proteins,367,https://reactome.org/PathwayBrowser/#/R-SCE-392499,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-72613,Eukaryotic Translation Initiation,125,https://reactome.org/PathwayBrowser/#/R-SCE-72613,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-72689,Formation of a pool of free 40S subunits,100,https://reactome.org/PathwayBrowser/#/R-SCE-72689,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,100,https://reactome.org/PathwayBrowser/#/R-SCE-72706,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-72737,Cap-dependent Translation Initiation,125,https://reactome.org/PathwayBrowser/#/R-SCE-72737,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-72766,Translation,142,https://reactome.org/PathwayBrowser/#/R-SCE-72766,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-8953854,Metabolism of RNA,258,https://reactome.org/PathwayBrowser/#/R-SCE-8953854,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-927802,Nonsense-Mediated Decay (NMD),119,https://reactome.org/PathwayBrowser/#/R-SCE-927802,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-975956,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),109,https://reactome.org/PathwayBrowser/#/R-SCE-975956,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-975957,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),119,https://reactome.org/PathwayBrowser/#/R-SCE-975957,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
