annotation_id,annotation_name,size,linkout,date_download,annotation_description,go_download_link
R-HSA-109582,Hemostasis,785,https://reactome.org/PathwayBrowser/#/R-HSA-109582,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-1280218,Adaptive Immune System,1058,https://reactome.org/PathwayBrowser/#/R-HSA-1280218,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-1643685,Disease,2427,https://reactome.org/PathwayBrowser/#/R-HSA-1643685,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-166658,Complement cascade,146,https://reactome.org/PathwayBrowser/#/R-HSA-166658,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-166663,Initial triggering of complement,111,https://reactome.org/PathwayBrowser/#/R-HSA-166663,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-166786,Creation of C4 and C2 activators,103,https://reactome.org/PathwayBrowser/#/R-HSA-166786,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-168249,Innate Immune System,1407,https://reactome.org/PathwayBrowser/#/R-HSA-168249,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-168256,Immune System,2592,https://reactome.org/PathwayBrowser/#/R-HSA-168256,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-173623,Classical antibody-mediated complement activation,95,https://reactome.org/PathwayBrowser/#/R-HSA-173623,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,230,https://reactome.org/PathwayBrowser/#/R-HSA-198933,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-202733,Cell surface interactions at the vascular wall,248,https://reactome.org/PathwayBrowser/#/R-HSA-202733,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-2029480,Fcgamma receptor (FCGR) dependent phagocytosis,303,https://reactome.org/PathwayBrowser/#/R-HSA-2029480,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-2029481,FCGR activation,196,https://reactome.org/PathwayBrowser/#/R-HSA-2029481,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-2029482,Regulation of actin dynamics for phagocytic cup formation,182,https://reactome.org/PathwayBrowser/#/R-HSA-2029482,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-2029485,Role of phospholipids in phagocytosis,115,https://reactome.org/PathwayBrowser/#/R-HSA-2029485,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-2168880,Scavenging of heme from plasma,99,https://reactome.org/PathwayBrowser/#/R-HSA-2168880,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-2173782,Binding and Uptake of Ligands by Scavenger Receptors,143,https://reactome.org/PathwayBrowser/#/R-HSA-2173782,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-2454202,Fc epsilon receptor (FCERI) signaling,334,https://reactome.org/PathwayBrowser/#/R-HSA-2454202,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-2730905,Role of LAT2/NTAL/LAB on calcium mobilization,198,https://reactome.org/PathwayBrowser/#/R-HSA-2730905,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-2871796,FCERI mediated MAPK activation,122,https://reactome.org/PathwayBrowser/#/R-HSA-2871796,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-2871809,FCERI mediated Ca+2 mobilization,224,https://reactome.org/PathwayBrowser/#/R-HSA-2871809,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-2871837,FCERI mediated NF-kB activation,171,https://reactome.org/PathwayBrowser/#/R-HSA-2871837,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-5653656,Vesicle-mediated transport,819,https://reactome.org/PathwayBrowser/#/R-HSA-5653656,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
